video_title,video_url,timestamp,channel,channel_url
Je hebt naar Chinese cuisine #daily delicious dishes #street food #yummy 😋 gekeken,https://www.youtube.com/watch?v=NlSyQPnLGXM,2024-05-10,taiyang,https://www.youtube.com/channel/UC1PdwVlyARvekekwYbrhznQ
Je hebt naar Satisfying Luigi Art #marioart #asmr #drawing #satisfying #mario #nintendo gekeken,https://www.youtube.com/watch?v=91QvwBUcP_0,2024-05-10,"Foxhouse Wood Work, LLC",https://www.youtube.com/channel/UClenC7ctNCrwp8KuUC-e1Pg
"Je hebt naar Charlie DEBUNKS The ""Patriarchy"" Argument In 30 Seconds 👀 gekeken",https://www.youtube.com/watch?v=ESlG4iTcjFE,2024-05-10,Turning Point USA,https://www.youtube.com/channel/UCVrK_pMRp_q8IelpfUCTGLQ
Je hebt naar Local Fish sauce for yam | students lunch edition |What I eat in a day #food #eat #shorts #lunch gekeken,https://www.youtube.com/watch?v=GiO5Q4qMt4I,2024-05-10,DiaryOfAFoodLover,https://www.youtube.com/channel/UC4TCvzmTA4N--IXQd_737wQ
Je hebt naar 🥔 Potato-Crusted Steak & Eggs #Shorts gekeken,https://www.youtube.com/watch?v=-ZM1rn1VpHw,2024-05-10,Chefclub Shorts,https://www.youtube.com/channel/UCG7baC-AN8aaIEWQU3D1mYQ
Je hebt naar Amazing Tools Hardware | Not AI | It is Real Maintenance Tools and Good Repair Tools Top Videos gekeken,https://www.youtube.com/watch?v=_D_HHXRinbg,2024-05-10,V.Producer,https://www.youtube.com/channel/UCdwnKlabpN3g-ogfSZcDleg
Je hebt naar Italy vs Spain AGAIN gekeken,https://www.youtube.com/watch?v=3LlD8Njg-zw,2024-05-10,Lionfield,https://www.youtube.com/channel/UCHwpDpLoyJgtFXoAaaSut4Q
Je hebt naar #coconutrice #ricedish #shortsfeed #cooking #cookwithme #shortsviral #shortsfeed #100shorts2024 gekeken,https://www.youtube.com/watch?v=XgI9Qpc9tbg,2024-05-10,Ibby bereibi,https://www.youtube.com/channel/UC9UinEJ-SHCoH1Gok8jKTaQ
Je hebt naar $200 vs $700 wetsuit😳😨#surfing #surf #wetsuit gekeken,https://www.youtube.com/watch?v=B04QlWSby28,2024-05-10,Underground Skate Surf & Foil,https://www.youtube.com/channel/UC7rD7nSJBcn0lsjFMmOZsIQ
Je hebt naar Airlines are not bugging anymore😅 gekeken,https://www.youtube.com/watch?v=-Na2ZKIPDj0,2024-05-10,vacpack,https://www.youtube.com/channel/UC33mSJYjJWPVBx2zI8Zg-tw
Je hebt naar Episode 38 | How to slide into her DMS correctly. #datenight #foodie #dessert gekeken,https://www.youtube.com/watch?v=2z983DbXBVY,2024-05-10,Cedrik Lorenzen,https://www.youtube.com/channel/UClkgXjdin4-lpc6NKM5-jbg
Je hebt naar 8k eggs soon? #shorts gekeken,https://www.youtube.com/watch?v=UJ3dZXg4Kto,2024-05-10,PetersPasta,https://www.youtube.com/channel/UCMsQdrzt1oyVC5KF6N98wFw
Je hebt naar Super winner! Whoever clears the board first wins👌Sling Puck Game #shorts #2024 gekeken,https://www.youtube.com/watch?v=fbQ1p0axRiA,2024-05-10,Furniture Makeover,https://www.youtube.com/channel/UCpSZs8JepNwWFnvS06IpI2g
Je hebt naar 10 minutes Ginger Seared Tilapia Fish #HighProtein #AsianCooking gekeken,https://www.youtube.com/watch?v=73Tynz5P0hc,2024-05-10,Kuang's Kitchen,https://www.youtube.com/channel/UCo-ihOzWJpNYtOqwsRpu1WA
"Je hebt naar The Original Caesar Salad in Tijuana, Mexico! 🥬 Table-side Preparation is Amazing! gekeken",https://www.youtube.com/watch?v=Rug3oaLJVMY,2024-05-10,Mark Wiens,https://www.youtube.com/channel/UCyEd6QBSgat5kkC6svyjudA
Je hebt naar Titanic Wine Sold For $1.4M #shorts gekeken,https://www.youtube.com/watch?v=QxDLdbs9JKQ,2024-05-10,Chewkz,https://www.youtube.com/channel/UC2z8HLrUbudYX_fTyLzpptw
Je hebt naar SMOKING THUGS in the HOOD *GONE WRONG* 😳 gekeken,https://www.youtube.com/watch?v=WXZo2sWlU-4,2024-05-10,Kaizen Shorts,https://www.youtube.com/channel/UC7wLwSlkehi_g2c8qvKjx1Q
